id_municipio,municipio_nome,unidade,nome_rm,nome_ugrhi
3517109,Glicério,URAE 1 - Sudeste,_Fora de RMs/AUs,Baixo Tietê
3517208,Guaiçara,URAE 4 - Norte,_Fora de RMs/AUs,Tietê / Batalha
3517307,Guaimbê,URAE 2 - Centro,_Fora de RMs/AUs,Aguapeí
3517406,Guaíra,URAE 4 - Norte,Aglomeração Urbana de Franca,Sapucaí / Grande
3517505,Guapiaçu,URAE 4 - Norte,_Fora de RMs/AUs,Turvo / Grande
3517604,Guapiara,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3517703,Guará,URAE 4 - Norte,Aglomeração Urbana de Franca,Sapucaí / Grande
3517802,Guaraçaí,URAE 4 - Norte,_Fora de RMs/AUs,Baixo Tietê
3517901,Guaraci,URAE 4 - Norte,_Fora de RMs/AUs,Baixo Pardo / Grande
3518008,Guarani d'Oeste,URAE 1 - Sudeste,_Fora de RMs/AUs,Turvo / Grande
3518107,Guarantã,URAE 4 - Norte,_Fora de RMs/AUs,Tietê / Batalha
3518206,Guararapes,URAE 4 - Norte,_Fora de RMs/AUs,Baixo Tietê
3518305,Guararema,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Paraíba do Sul
3518404,Guaratinguetá,URAE 3 - Leste,Região Metropolitana do Vale do Paraíba e Litoral Norte,Paraíba do Sul
3518503,Guareí,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3518602,Guariba,URAE 1 - Sudeste,Região Metropolitana de Ribeirão Preto,Mogi-Guaçu
3518701,Guarujá,URAE 1 - Sudeste,Região Metropolitana da Baixada Santista,Baixada Santista
3518800,Guarulhos,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3518859,Guatapará,URAE 4 - Norte,Região Metropolitana de Ribeirão Preto,Mogi-Guaçu
3518909,Guzolândia,URAE 1 - Sudeste,_Fora de RMs/AUs,São José dos Dourados
3519006,Herculândia,URAE 2 - Centro,_Fora de RMs/AUs,Aguapeí
3519055,Holambra,URAE 3 - Leste,Região Metropolitana de Campinas,Piracicaba / Capivari / Jundiaí
3519071,Hortolândia,URAE 1 - Sudeste,Região Metropolitana de Campinas,Piracicaba / Capivari / Jundiaí
3519105,Iacanga,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Jacaré
3519204,Iacri,URAE 1 - Sudeste,_Fora de RMs/AUs,Aguapeí
3519253,Iaras,URAE 1 - Sudeste,_Fora de RMs/AUs,Médio Paranapanema
3519303,Ibaté,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Jacaré
3519402,Ibirá,URAE 1 - Sudeste,_Fora de RMs/AUs,Tietê / Batalha
3519501,Ibirarema,URAE 2 - Centro,_Fora de RMs/AUs,Médio Paranapanema
3519600,Ibitinga,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Jacaré
3519709,Ibiúna,URAE 1 - Sudeste,Região Metropolitana de Sorocaba,Tietê / Sorocaba
3519808,Icém,URAE 1 - Sudeste,_Fora de RMs/AUs,Baixo Pardo / Grande
3519907,Iepê,URAE 2 - Centro,_Fora de RMs/AUs,Pontal do Paranapanema
3520004,Igaraçu do Tietê,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Jacaré
3520103,Igarapava,URAE 1 - Sudeste,Aglomeração Urbana de Franca,Sapucaí / Grande
3520202,Igaratá,URAE 1 - Sudeste,Região Metropolitana do Vale do Paraíba e Litoral Norte,Paraíba do Sul
3520301,Iguape,URAE 1 - Sudeste,_Fora de RMs/AUs,Ribeira de Iguape / Litoral Sul
3520426,Ilha Comprida,URAE 1 - Sudeste,_Fora de RMs/AUs,Ribeira de Iguape / Litoral Sul
3520442,Ilha Solteira,URAE 4 - Norte,_Fora de RMs/AUs,São José dos Dourados
3520400,Ilhabela,URAE 1 - Sudeste,Região Metropolitana do Vale do Paraíba e Litoral Norte,Litoral Norte
3520509,Indaiatuba,URAE 3 - Leste,Região Metropolitana de Campinas,Piracicaba / Capivari / Jundiaí
3520608,Indiana,URAE 2 - Centro,_Fora de RMs/AUs,Peixe
3520707,Indiaporã,URAE 1 - Sudeste,_Fora de RMs/AUs,Turvo / Grande
3520806,Inúbia Paulista,URAE 1 - Sudeste,_Fora de RMs/AUs,Peixe
3520905,Ipaussu,URAE 2 - Centro,_Fora de RMs/AUs,Alto Paranapanema
3521002,Iperó,URAE 1 - Sudeste,Região Metropolitana de Sorocaba,Tietê / Sorocaba
3521101,Ipeúna,URAE 2 - Centro,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Piracicaba / Capivari / Jundiaí
3521150,Ipiguá,URAE 4 - Norte,_Fora de RMs/AUs,Turvo / Grande
3521200,Iporanga,URAE 1 - Sudeste,_Fora de RMs/AUs,Ribeira de Iguape / Litoral Sul
3521309,Ipuã,URAE 4 - Norte,Aglomeração Urbana de Franca,Sapucaí / Grande
3521408,Iracemápolis,URAE 2 - Centro,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Piracicaba / Capivari / Jundiaí
